triadag20_5.txt 3_2x5.txt True 0.3368421052631579 1 580.5 [0, 0, 0, 0, 7, 7, 7, 0, 0, 5, 7, 5, 5, 0, 5, 0, 0, 5, 5, 7, 0, 0, 0, 7, 7, 7, 0, 0, 5, 7, 5, 5, 0, 0, 0, 0, 5, 5, 7, 0, 0, 7, 7, 7, 0, 0, 5, 7, 5, 5, 0, 0, 0, 0, 5, 0, 7, 8, 7, 7, 7, 0, 0, 5, 7, 5, 8, 0, 0, 0, 0, 5, 0, 7, 8, 8, 8, 8, 1, 8, 1, 8, 8, 1, 8, 8, 8, 8, 1, 1, 4, 8, 8, 1, 8, 1, 8, 8, 1, 8, 8, 8, 8, 1, 1, 4, 4, 1, 4, 4, 4, 4, 1, 9, 9, 4, 4, 1, 1, 2, 4, 4, 4, 4, 4, 2, 9, 9, 4, 4, 9, 2, 2, 2, 4, 4, 2, 2, 9, 9, 2, 2, 9, 2, 2, 4, 4, 2, 2, 9, 9, 2, 2, 9, 2, 3, 4, 2, 2, 9, 9, 2, 2, 9, 2, 3, 3, 3, 3, 9, 3, 3, 9, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 3, 3, 6, 6, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
triadag20_5.txt 3_2x4.txt True 0.013157894736842105 0.04 3806.0 [0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
triadag20_5.txt 3_2x4.txt True 0.013157894736842105 0.06 3806.0 [0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
triadag20_5.txt 3_2x4.txt True 0.06315789473684211 0.08 3488.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
triadag20_5.txt 3_2x4.txt True 0.06315789473684211 0.1 3488.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
triadag20_5.txt 3_2x4.txt True 0.10789473684210527 0.12 2731.3333333333335 [0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
triadag20_5.txt 3_2x4.txt True 0.1394736842105263 0.14 1985.6666666666667 [0, 0, 0, 0, 0, 3, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 6, 6, 0, 0, 0, 0, 3, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 6, 6, 0, 0, 0, 3, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 6, 6, 0, 0, 3, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
triadag20_5.txt 3_2x4.txt True 0.1394736842105263 0.16 1985.6666666666667 [0, 0, 0, 0, 0, 3, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 6, 6, 0, 0, 0, 0, 3, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 6, 6, 0, 0, 0, 3, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 6, 6, 0, 0, 3, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
triadag20_5.txt 3_2x4.txt True 0.1394736842105263 0.18 1985.6666666666667 [0, 0, 0, 0, 0, 3, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 6, 6, 0, 0, 0, 0, 3, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 6, 6, 0, 0, 0, 3, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 6, 6, 0, 0, 3, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
triadag20_5.txt 3_2x4.txt True 0.19210526315789472 0.2 858.6666666666666 [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 5, 4, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 5, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 5, 2, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
triadag20_5.txt 3_2x4.txt True 0.25 0.25 744.5 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 5, 5, 2, 2, 5, 2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 5, 5, 2, 2, 5, 2, 5, 0, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 5, 5, 2, 2, 5, 2, 5, 0, 0, 0, 0, 7, 7, 0, 7, 5, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7, 7, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 0, 3, 0, 7, 7, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 0, 3, 7, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 1, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag20_5.txt 3_2x4.txt True 0.3 0.3 733.0 [4, 4, 3, 4, 4, 4, 7, 4, 7, 4, 4, 3, 4, 7, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 7, 4, 7, 4, 4, 3, 4, 7, 3, 4, 4, 3, 4, 4, 3, 4, 4, 4, 7, 4, 7, 4, 4, 3, 4, 7, 3, 4, 4, 3, 4, 4, 0, 3, 3, 7, 3, 7, 3, 3, 3, 3, 7, 3, 4, 3, 3, 3, 3, 0, 0, 7, 0, 7, 0, 0, 3, 0, 7, 0, 0, 3, 3, 0, 0, 1, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 0, 0, 0, 0, 1, 1, 7, 1, 1, 7, 1, 7, 1, 0, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 5, 1, 5, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 1, 6, 5, 5, 5, 5, 5, 5, 5, 1, 5, 1, 6, 6, 6, 6, 6, 6, 6, 6, 5, 1, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 2, 6, 2, 6, 6, 2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
triadag20_5.txt 3_2x4.txt True 0.35 0.35 732.0 [3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 0, 1, 7, 0, 7, 7, 7, 0, 3, 0, 7, 7, 7, 3, 0, 7, 7, 0, 7, 0, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 5, 2, 2, 7, 2, 2, 7, 7, 0, 0, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 6, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 6, 6, 6, 4, 6, 6, 5, 6, 6, 5, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 4, 4, 6, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag20_5.txt 3_2x4.txt True 0.35 0.4 732.0 [3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 0, 1, 7, 0, 7, 7, 7, 0, 3, 0, 7, 7, 7, 3, 0, 7, 7, 0, 7, 0, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 5, 2, 2, 7, 2, 2, 7, 7, 0, 0, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 6, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 6, 6, 6, 4, 6, 6, 5, 6, 6, 5, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 4, 4, 6, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag20_5.txt 3_2x4.txt True 0.35 0.45 732.0 [3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 0, 1, 7, 0, 7, 7, 7, 0, 3, 0, 7, 7, 7, 3, 0, 7, 7, 0, 7, 0, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 5, 2, 2, 7, 2, 2, 7, 7, 0, 0, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 6, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 6, 6, 6, 4, 6, 6, 5, 6, 6, 5, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 4, 4, 6, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag20_5.txt 3_2x4.txt True 0.35 0.5 732.0 [3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 0, 1, 7, 0, 7, 7, 7, 0, 3, 0, 7, 7, 7, 3, 0, 7, 7, 0, 7, 0, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 5, 2, 2, 7, 2, 2, 7, 7, 0, 0, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 6, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 6, 6, 6, 4, 6, 6, 5, 6, 6, 5, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 4, 4, 6, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag20_5.txt 3_2x4.txt True 0.35 0.55 732.0 [3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 0, 1, 7, 0, 7, 7, 7, 0, 3, 0, 7, 7, 7, 3, 0, 7, 7, 0, 7, 0, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 5, 2, 2, 7, 2, 2, 7, 7, 0, 0, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 6, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 6, 6, 6, 4, 6, 6, 5, 6, 6, 5, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 4, 4, 6, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag20_5.txt 3_2x4.txt True 0.35 0.6 732.0 [3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 0, 1, 7, 0, 7, 7, 7, 0, 3, 0, 7, 7, 7, 3, 0, 7, 7, 0, 7, 0, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 5, 2, 2, 7, 2, 2, 7, 7, 0, 0, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 6, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 6, 6, 6, 4, 6, 6, 5, 6, 6, 5, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 4, 4, 6, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag20_5.txt 3_2x4.txt True 0.35 0.65 732.0 [3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 0, 1, 7, 0, 7, 7, 7, 0, 3, 0, 7, 7, 7, 3, 0, 7, 7, 0, 7, 0, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 5, 2, 2, 7, 2, 2, 7, 7, 0, 0, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 6, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 6, 6, 6, 4, 6, 6, 5, 6, 6, 5, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 4, 4, 6, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag20_5.txt 3_2x4.txt True 0.35 0.7 732.0 [3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 0, 1, 7, 0, 7, 7, 7, 0, 3, 0, 7, 7, 7, 3, 0, 7, 7, 0, 7, 0, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 0, 0, 0, 0, 7, 0, 0, 7, 7, 0, 0, 7, 7, 2, 2, 5, 2, 2, 7, 2, 2, 7, 7, 0, 0, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 2, 2, 2, 6, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 6, 6, 6, 4, 6, 6, 5, 6, 6, 5, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 4, 4, 6, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
